locationType,location,major,minor,occupation,ethnicity,total,median,mean
Region,Auckland Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,0,..C,..C
Region,Auckland Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,6,11800,11300
Region,Auckland Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,4371,19900,23700
Region,Auckland Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,513,14800,16800
Region,Auckland Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,3,..C,..C
Region,Auckland Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,24,39200,33300
Region,Auckland Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,135,33500,32900
Region,Auckland Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,5658,38300,36700
Region,Auckland Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,333,29500,28700
Region,Auckland Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,816,35000,34600
Region,Auckland Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,54,29800,33900
Region,Auckland Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,3,..C,..C
Region,Auckland Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,144,11900,13500
Region,Auckland Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,174,35200,33200
Region,Waikato Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,63,64000,77800
Region,Waikato Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,27,36200,37100
Region,Waikato Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,27,61000,72000
Region,Waikato Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,129,32100,34600
Region,Waikato Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,9,41700,50700
Region,Waikato Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,54,50300,53200
Region,Waikato Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,18,42300,43700
Region,Waikato Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,27,28100,30200
Region,Waikato Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,42,19200,20800
Region,Waikato Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,18,14800,15700
Region,Waikato Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Waikato Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,6,54600,65200
Region,Waikato Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,15,44600,42100
