locationType,location,major,minor,occupation,ethnicity,total,median,mean
Territorial Authority,Upper Hutt City,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Upper Hutt City,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Upper Hutt City,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,6,37400,34400
Territorial Authority,Lower Hutt City,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,24,79100,90900
Territorial Authority,Lower Hutt City,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,15,47700,47200
Territorial Authority,Lower Hutt City,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,18,74000,68000
Territorial Authority,Lower Hutt City,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,90,37200,34800
Territorial Authority,Lower Hutt City,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,27,45100,41900
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,21,42100,38300
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,18,34700,32400
Territorial Authority,Lower Hutt City,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,33,21700,22200
Territorial Authority,Lower Hutt City,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,9,18600,17900
Territorial Authority,Lower Hutt City,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,6,56700,59300
Territorial Authority,Lower Hutt City,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,30,61000,58100
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,93,38000,37300
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,9,61100,60100
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,39,45700,46200
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,222,18300,21600
Territorial Authority,Lower Hutt City,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,39,15300,16700
Territorial Authority,Lower Hutt City,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,12,29000,30100
Territorial Authority,Lower Hutt City,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,96,38300,37300
Territorial Authority,Lower Hutt City,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,12,8700,15000
Territorial Authority,Lower Hutt City,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,42,35800,33400
Territorial Authority,Lower Hutt City,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Lower Hutt City,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,9,10400,10000
Territorial Authority,Lower Hutt City,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,12,52300,51800
Territorial Authority,Wellington City,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,42,84800,99700
Territorial Authority,Wellington City,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,36,37700,38800
Territorial Authority,Wellington City,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,30,71900,75500
Territorial Authority,Wellington City,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,66,40700,40200
Territorial Authority,Wellington City,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,33,39000,45200
Territorial Authority,Wellington City,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,6,33800,28000
Territorial Authority,Wellington City,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,15,31900,31900
Territorial Authority,Wellington City,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,21,9300,14600
Territorial Authority,Wellington City,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,18,18200,20300
Territorial Authority,Wellington City,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,6,18500,37100
Territorial Authority,Wellington City,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,15,61100,64100
Territorial Authority,Wellington City,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,42,60000,60000
Territorial Authority,Wellington City,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,126,44300,44600
Territorial Authority,Wellington City,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,12,61900,58500
Territorial Authority,Wellington City,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,30,47300,45300
Territorial Authority,Wellington City,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,237,18900,23300
Territorial Authority,Wellington City,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,21,26900,25200
Territorial Authority,Wellington City,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,48,39700,36300
Territorial Authority,Wellington City,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,9,12800,19300
Territorial Authority,Wellington City,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,33,35200,39600
Territorial Authority,Wellington City,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Wellington City,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,9,11400,15100
Territorial Authority,Wellington City,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,6,35200,40000
Territorial Authority,Masterton District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,6,32800,32900
Territorial Authority,Masterton District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,6,32000,26600
Territorial Authority,Masterton District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,21,21700,22700
Territorial Authority,Masterton District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,6,35100,26600
Territorial Authority,Masterton District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,6,17300,29000
Territorial Authority,Masterton District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Masterton District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Carterton District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,6,24400,28300
Territorial Authority,South Wairarapa District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,South Wairarapa District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
